,DDQN_Base_Model
100,"{'reward': 0.21231513835189733, 'makespan': 2000.78402690616, 'energy': 3.7596554063326146, 'cost': 52.54009061062793, 'latency': 4.515, 'utilization': 0.5080181221255835, 'throughput': 0.10036458794043933}"
101,"{'reward': 0.20737911380827678, 'makespan': 2000.958138653014, 'energy': 3.721463256033329, 'cost': 52.50907215139344, 'latency': 4.53, 'utilization': 0.5018144302786889, 'throughput': 0.09988345864661648}"
102,"{'reward': 0.20349954697156572, 'makespan': 4000.6231228756114, 'energy': 3.68238635460217, 'cost': 52.48189084702938, 'latency': 4.5, 'utilization': 0.49637816940587826, 'throughput': 0.10053144224196851}"
103,"{'reward': 0.20266450726375537, 'makespan': 0.6510577815030445, 'energy': 3.69265000199169, 'cost': 52.47650278255539, 'latency': 4.405, 'utilization': 0.49530055651107685, 'throughput': 0.1027445887445887}"
104,"{'reward': 0.2008822350018335, 'makespan': 2.125192198532429, 'energy': 3.6744207064765613, 'cost': 52.46636496273667, 'latency': 4.47, 'utilization': 0.4932729925473335, 'throughput': 0.1016218844794696}"
105,"{'reward': 0.22215613810689455, 'makespan': 2001.6015746001833, 'energy': 3.8376321973496808, 'cost': 52.60132677813896, 'latency': 4.455, 'utilization': 0.5202653556277916, 'throughput': 0.10196088878441817}"
106,"{'reward': 0.21357368944054744, 'makespan': 6001.016710461091, 'energy': 3.761241898485872, 'cost': 52.54278451647383, 'latency': 4.385, 'utilization': 0.5085569032947675, 'throughput': 0.10310655426444897}"
107,"{'reward': 0.20525156262385166, 'makespan': 0.7963172052443231, 'energy': 3.689689293276552, 'cost': 52.49094149956109, 'latency': 4.465, 'utilization': 0.49818829991221797, 'throughput': 0.10144653299916455}"
108,"{'reward': 0.20754768157126077, 'makespan': 2000.6812628605371, 'energy': 3.7331071671426934, 'cost': 52.5093088697791, 'latency': 4.445, 'utilization': 0.5018617739558198, 'throughput': 0.10206277056277052}"
109,"{'reward': 0.20690759993118416, 'makespan': 2000.802138868137, 'energy': 3.694102692412819, 'cost': 52.4938468712262, 'latency': 4.26, 'utilization': 0.49876937424523815, 'throughput': 0.10631064016822529}"
110,"{'reward': 0.21444805543211667, 'makespan': 4000.6921741056653, 'energy': 3.772582909665746, 'cost': 52.55050174970636, 'latency': 4.43, 'utilization': 0.5101003499412704, 'throughput': 0.10237226980106233}"
111,"{'reward': 0.20991340580106482, 'makespan': 2000.8091024396404, 'energy': 3.7394171671094862, 'cost': 52.52267137340423, 'latency': 4.455, 'utilization': 0.5045342746808482, 'throughput': 0.10240612895876051}"
112,"{'reward': 0.21257378762054985, 'makespan': 6000.727414038316, 'energy': 3.7677455984132844, 'cost': 52.542920815844965, 'latency': 4.52, 'utilization': 0.5085841631689959, 'throughput': 0.10051010101010097}"
113,"{'reward': 0.20823571227153628, 'makespan': 2000.6345400453201, 'energy': 3.7395871208440155, 'cost': 52.51206662111943, 'latency': 4.385, 'utilization': 0.5024133242238887, 'throughput': 0.1035699609987535}"
114,"{'reward': 0.20653479844214442, 'makespan': 2000.6255621524565, 'energy': 3.7154236856295113, 'cost': 52.50118644730314, 'latency': 4.445, 'utilization': 0.5002372894606287, 'throughput': 0.10240618033497288}"
115,"{'reward': 0.21271932065684204, 'makespan': 4000.658914660868, 'energy': 3.7742152301497356, 'cost': 52.54231853998629, 'latency': 4.44, 'utilization': 0.5084637079972556, 'throughput': 0.10248345685961781}"
116,"{'reward': 0.21534658177395866, 'makespan': 2000.6710801885802, 'energy': 3.8138947450687883, 'cost': 52.564470164781966, 'latency': 4.51, 'utilization': 0.5128940329563924, 'throughput': 0.10036340852130321}"
117,"{'reward': 0.21393239664239208, 'makespan': 4006.6993004874403, 'energy': 3.788267937955833, 'cost': 52.548713237995216, 'latency': 4.37, 'utilization': 0.5097426475990475, 'throughput': 0.10354261991878086}"
118,"{'reward': 0.21010422868954115, 'makespan': 2001.2091899178156, 'energy': 3.742863704484021, 'cost': 52.52650214850715, 'latency': 4.53, 'utilization': 0.5053004297014301, 'throughput': 0.09989563704269583}"
119,"{'reward': 0.2063727253062355, 'makespan': 2000.6797925330166, 'energy': 3.6976847573945513, 'cost': 52.49645507527029, 'latency': 4.415, 'utilization': 0.4992910150540538, 'throughput': 0.10331953890622618}"
120,"{'reward': 0.21254675127203573, 'makespan': 2000.6652941915743, 'energy': 3.7511091730464563, 'cost': 52.53936440033674, 'latency': 4.5, 'utilization': 0.5078728800673479, 'throughput': 0.10079247360826306}"
121,"{'reward': 0.21710117197252402, 'makespan': 2001.562941593663, 'energy': 3.8064423762676416, 'cost': 52.572105168154, 'latency': 4.51, 'utilization': 0.514421033630798, 'throughput': 0.100406850459482}"
122,"{'reward': 0.21457256481150247, 'makespan': 4000.6990467678766, 'energy': 3.7758144326534007, 'cost': 52.55183100997208, 'latency': 4.435, 'utilization': 0.5103662019944203, 'throughput': 0.10181529581529578}"
123,"{'reward': 0.2072718972915068, 'makespan': 4007.804681119104, 'energy': 3.6983403940364594, 'cost': 52.50370912683894, 'latency': 4.5, 'utilization': 0.5007418253677876, 'throughput': 0.10102669552669549}"
124,"{'reward': 0.2206606956487086, 'makespan': 2000.7819184678222, 'energy': 3.8607157797369904, 'cost': 52.597798719172154, 'latency': 4.46, 'utilization': 0.5195597438344304, 'throughput': 0.10158073213336367}"
125,"{'reward': 0.20944983905493392, 'makespan': 6000.6771702121605, 'energy': 3.7182752958715453, 'cost': 52.513555588785465, 'latency': 4.35, 'utilization': 0.50271111775709, 'throughput': 0.10401499962026275}"
126,"{'reward': 0.21458264482766773, 'makespan': 2001.2114701178996, 'energy': 3.7696898419211906, 'cost': 52.55054308241886, 'latency': 4.425, 'utilization': 0.510108616483772, 'throughput': 0.10252535527767723}"
127,"{'reward': 0.21050729388562517, 'makespan': 4000.731521864559, 'energy': 3.748588159457826, 'cost': 52.52966467555743, 'latency': 4.535, 'utilization': 0.5059329351114824, 'throughput': 0.09993135691278104}"
128,"{'reward': 0.20560971913778942, 'makespan': 8000.493743793131, 'energy': 3.7046697504067483, 'cost': 52.491334382142576, 'latency': 4.335, 'utilization': 0.4982668764285123, 'throughput': 0.10493058403584715}"
129,"{'reward': 0.2094749713243572, 'makespan': 2000.6437154188366, 'energy': 3.735519482444159, 'cost': 52.52313592174648, 'latency': 4.565, 'utilization': 0.504627184349287, 'throughput': 0.0991809202149759}"
130,"{'reward': 0.2145392680269578, 'makespan': 2000.811933264723, 'energy': 3.7900498938310943, 'cost': 52.55224271677963, 'latency': 4.375, 'utilization': 0.510448543355924, 'throughput': 0.10482766407998602}"
131,"{'reward': 0.21080200040722957, 'makespan': 2000.6074280064609, 'energy': 3.7462419295931584, 'cost': 52.53045798780083, 'latency': 4.525, 'utilization': 0.5060915975601652, 'throughput': 0.10007936507936506}"
132,"{'reward': 0.20989608576534372, 'makespan': 4000.7516466393427, 'energy': 3.7507299138210284, 'cost': 52.52464717348744, 'latency': 4.46, 'utilization': 0.5049294346974831, 'throughput': 0.10202522795402048}"
133,"{'reward': 0.2044552829258727, 'makespan': 4000.6607343154783, 'energy': 3.664101288289446, 'cost': 52.4813648433782, 'latency': 4.425, 'utilization': 0.496272968675642, 'throughput': 0.10228837244626714}"
134,"{'reward': 0.2045345303202294, 'makespan': 2000.576322760469, 'energy': 3.6902234542545154, 'cost': 52.48298689295446, 'latency': 4.32, 'utilization': 0.4965973785908935, 'throughput': 0.10503020251162663}"
135,"{'reward': 0.20983710339904144, 'makespan': 6000.7631184454785, 'energy': 3.751656014391942, 'cost': 52.521006972628754, 'latency': 4.345, 'utilization': 0.5042013945257522, 'throughput': 0.10431457431457426}"
136,"{'reward': 0.2090422430304641, 'makespan': 2002.869447214171, 'energy': 3.7537147892172835, 'cost': 52.52249610624479, 'latency': 4.515, 'utilization': 0.5044992212489606, 'throughput': 0.10075098173240583}"
137,"{'reward': 0.2207861449643859, 'makespan': 8001.322366129178, 'energy': 3.860029843553369, 'cost': 52.597102144320715, 'latency': 4.42, 'utilization': 0.519420428864142, 'throughput': 0.1024560398322008}"
138,"{'reward': 0.21230560023657152, 'makespan': 0.6671321215760486, 'energy': 3.7727167142012705, 'cost': 52.541640945333235, 'latency': 4.495, 'utilization': 0.5083281890666457, 'throughput': 0.10065430063572472}"
139,"{'reward': 0.20898488175236, 'makespan': 4001.248464483814, 'energy': 3.7573340062374574, 'cost': 52.52236065555573, 'latency': 4.5, 'utilization': 0.5044721311111467, 'throughput': 0.10064912280701749}"
140,"{'reward': 0.20849890777017088, 'makespan': 4000.6092850553887, 'energy': 3.746912176796033, 'cost': 52.51615924967875, 'latency': 4.435, 'utilization': 0.5032318499357512, 'throughput': 0.10214066806946061}"
141,"{'reward': 0.21688634986303762, 'makespan': 2000.834619014374, 'energy': 3.81327444748257, 'cost': 52.57110611250468, 'latency': 4.475, 'utilization': 0.5142212225009353, 'throughput': 0.10139955950482266}"
142,"{'reward': 0.20970031626419952, 'makespan': 2000.585291821808, 'energy': 3.7378043934335636, 'cost': 52.52192697931479, 'latency': 4.475, 'utilization': 0.5043853958629583, 'throughput': 0.10119810890863518}"
143,"{'reward': 0.21478275821444195, 'makespan': 2000.8926172433485, 'energy': 3.8030982905291975, 'cost': 52.56054815620014, 'latency': 4.535, 'utilization': 0.5121096312400265, 'throughput': 0.09991130678746775}"
144,"{'reward': 0.21593971515241084, 'makespan': 6001.222694327327, 'energy': 3.8028834072941184, 'cost': 52.562422688830345, 'latency': 4.405, 'utilization': 0.5124845377660736, 'throughput': 0.10313417456296711}"
145,"{'reward': 0.21047394625365873, 'makespan': 4000.802319271416, 'energy': 3.758149014318323, 'cost': 52.528830031485334, 'latency': 4.46, 'utilization': 0.5057660062970664, 'throughput': 0.10151649399791812}"
146,"{'reward': 0.2077654964565213, 'makespan': 6000.518189280538, 'energy': 3.7195909763186648, 'cost': 52.510866486259445, 'latency': 4.535, 'utilization': 0.5021732972518871, 'throughput': 0.09981534719150816}"
147,"{'reward': 0.20838651219611734, 'makespan': 2000.70726467703, 'energy': 3.751110613517229, 'cost': 52.519036242893684, 'latency': 4.525, 'utilization': 0.5038072485787332, 'throughput': 0.10031377686640841}"
148,"{'reward': 0.20722679405034433, 'makespan': 1.7725644719897824, 'energy': 3.714596173909611, 'cost': 52.50668346608826, 'latency': 4.515, 'utilization': 0.5013366932176511, 'throughput': 0.10106774512037667}"
149,"{'reward': 0.2088419190257952, 'makespan': 6000.646441761331, 'energy': 3.738958558252485, 'cost': 52.516402013458155, 'latency': 4.43, 'utilization': 0.5032804026916291, 'throughput': 0.10272784233310546}"
150,"{'reward': 0.21114374647609427, 'makespan': 2000.7847118291145, 'energy': 3.742652621711989, 'cost': 52.530367263089595, 'latency': 4.485, 'utilization': 0.5060734526179173, 'throughput': 0.10105411255411254}"
151,"{'reward': 0.21792076585427123, 'makespan': 2000.6171861718644, 'energy': 3.8305071774950754, 'cost': 52.582150924820944, 'latency': 4.57, 'utilization': 0.5164301849641897, 'throughput': 0.09917091972355126}"
152,"{'reward': 0.21400887761308607, 'makespan': 2000.6250424341674, 'energy': 3.8160928636236195, 'cost': 52.557908520049224, 'latency': 4.505, 'utilization': 0.5115817040098443, 'throughput': 0.10082349813928757}"
153,"{'reward': 0.2059880378431368, 'makespan': 2000.6521006132787, 'energy': 3.701925895042069, 'cost': 52.49689448610087, 'latency': 4.47, 'utilization': 0.4993788972201756, 'throughput': 0.1013224862512788}"
154,"{'reward': 0.21343523889303767, 'makespan': 6000.737381949901, 'energy': 3.7364445873174708, 'cost': 52.53865304078883, 'latency': 4.41, 'utilization': 0.5077306081577672, 'throughput': 0.10285539606592234}"
155,"{'reward': 0.20906936829499898, 'makespan': 2000.7206837435724, 'energy': 3.7227221212072696, 'cost': 52.512530392493744, 'latency': 4.355, 'utilization': 0.5025060784987464, 'throughput': 0.10402427861096591}"
156,"{'reward': 0.20559072052029095, 'makespan': 4000.5741303954114, 'energy': 3.707073866893881, 'cost': 52.497423103094306, 'latency': 4.525, 'utilization': 0.4994846206188604, 'throughput': 0.1002481716769642}"
157,"{'reward': 0.20677579607578078, 'makespan': 4000.788237571043, 'energy': 3.6923562250399833, 'cost': 52.49774999855513, 'latency': 4.42, 'utilization': 0.4995499997110243, 'throughput': 0.10247701472933668}"
158,"{'reward': 0.21071701179611638, 'makespan': 2001.6379466831672, 'energy': 3.742616058311165, 'cost': 52.52713339762575, 'latency': 4.45, 'utilization': 0.5054266795251516, 'throughput': 0.10176396874539284}"
159,"{'reward': 0.2097803664049889, 'makespan': 4000.792400422833, 'energy': 3.752165182763873, 'cost': 52.523238580052265, 'latency': 4.425, 'utilization': 0.5046477160104546, 'throughput': 0.10242473608263078}"
160,"{'reward': 0.2047586985979904, 'makespan': 0.941088482975239, 'energy': 3.6807525167089725, 'cost': 52.4837395078936, 'latency': 4.36, 'utilization': 0.4967479015787232, 'throughput': 0.10377623425765839}"
161,"{'reward': 0.20783228232752943, 'makespan': 2001.140667448306, 'energy': 3.7279078957482614, 'cost': 52.51017716888571, 'latency': 4.455, 'utilization': 0.502035433777145, 'throughput': 0.10193138148401303}"
162,"{'reward': 0.209549660280206, 'makespan': 2000.6418749118943, 'energy': 3.72476665717037, 'cost': 52.51743955144355, 'latency': 4.425, 'utilization': 0.5034879102887113, 'throughput': 0.10244526869759066}"
163,"{'reward': 0.21515431996455464, 'makespan': 2000.8886542151197, 'energy': 3.7937716385935256, 'cost': 52.55918290612249, 'latency': 4.48, 'utilization': 0.5118365812245002, 'throughput': 0.10099505224737419}"
164,"{'reward': 0.21267636744067128, 'makespan': 2000.9859947289456, 'energy': 3.7642835478809307, 'cost': 52.54042264057468, 'latency': 4.44, 'utilization': 0.5080845281149338, 'throughput': 0.10202679827912023}"
165,"{'reward': 0.2082528887863273, 'makespan': 2001.8776702696841, 'energy': 3.7321459874628546, 'cost': 52.51378575773347, 'latency': 4.48, 'utilization': 0.5027571515466961, 'throughput': 0.10118159033948505}"
166,"{'reward': 0.2194294120193488, 'makespan': 2001.0077588898785, 'energy': 3.831506569481827, 'cost': 52.585557169748874, 'latency': 4.425, 'utilization': 0.5171114339497761, 'throughput': 0.1023771170350117}"
167,"{'reward': 0.213123945994365, 'makespan': 0.6851297485013135, 'energy': 3.7554821055452585, 'cost': 52.53877110555106, 'latency': 4.36, 'utilization': 0.5077542211102097, 'throughput': 0.10382825825705078}"
168,"{'reward': 0.20805188502021538, 'makespan': 0.7928972079164445, 'energy': 3.7058267793403576, 'cost': 52.50664685614444, 'latency': 4.425, 'utilization': 0.5013293712288894, 'throughput': 0.10302589807852965}"
169,"{'reward': 0.19808068871737955, 'makespan': 0.760660118590111, 'energy': 3.6152185214882153, 'cost': 52.442616357183326, 'latency': 4.485, 'utilization': 0.4885232714366635, 'throughput': 0.10127337282600438}"
170,"{'reward': 0.21216797616195965, 'makespan': 2000.783437360177, 'energy': 3.7686174321354584, 'cost': 52.53979443164194, 'latency': 4.48, 'utilization': 0.5079588863283867, 'throughput': 0.10128079110432049}"
171,"{'reward': 0.21893457470848016, 'makespan': 2000.8966669927236, 'energy': 3.8251494933976096, 'cost': 52.58227876513851, 'latency': 4.435, 'utilization': 0.5164557530277, 'throughput': 0.10230741068357166}"
172,"{'reward': 0.20216701567919795, 'makespan': 4000.626051457, 'energy': 3.6529846603912652, 'cost': 52.46986390510187, 'latency': 4.49, 'utilization': 0.49397278102037284, 'throughput': 0.10100136705399862}"
173,"{'reward': 0.2124604592839418, 'makespan': 0.8156356856234386, 'energy': 3.765322165283796, 'cost': 52.53889537633832, 'latency': 4.42, 'utilization': 0.5077790752676603, 'throughput': 0.10284709322325415}"
174,"{'reward': 0.20816373160268498, 'makespan': 4000.693307953795, 'energy': 3.7220095086205776, 'cost': 52.50949200776528, 'latency': 4.41, 'utilization': 0.5018984015530557, 'throughput': 0.10249686158354888}"
175,"{'reward': 0.21630964558160962, 'makespan': 2000.721930430991, 'energy': 3.7957332169085, 'cost': 52.5643063287359, 'latency': 4.445, 'utilization': 0.5128612657471794, 'throughput': 0.10239682539682535}"
176,"{'reward': 0.21958401326731455, 'makespan': 2000.9481531076299, 'energy': 3.8587514536087495, 'cost': 52.591856894743685, 'latency': 4.455, 'utilization': 0.5183713789487395, 'throughput': 0.10192202877961391}"
177,"{'reward': 0.21196657133333774, 'makespan': 2001.4903103229972, 'energy': 3.7621755563320054, 'cost': 52.534035227068316, 'latency': 4.36, 'utilization': 0.5068070454136681, 'throughput': 0.10377860203092398}"
178,"{'reward': 0.2131386042329318, 'makespan': 0.7400058004151453, 'energy': 3.745882734478985, 'cost': 52.541329387440975, 'latency': 4.495, 'utilization': 0.5082658774881983, 'throughput': 0.10065793271056427}"
179,"{'reward': 0.2118463831403431, 'makespan': 1.2269295769430397, 'energy': 3.7544290429607616, 'cost': 52.533333633529175, 'latency': 4.4, 'utilization': 0.5066667267058373, 'throughput': 0.10290140904846785}"
180,"{'reward': 0.21466754524634638, 'makespan': 4000.739848865376, 'energy': 3.789076483423798, 'cost': 52.555922040424576, 'latency': 4.48, 'utilization': 0.5111844080849114, 'throughput': 0.10127427302659496}"
181,"{'reward': 0.2069791771520461, 'makespan': 2000.688096718051, 'energy': 3.7316534630664164, 'cost': 52.50648556408014, 'latency': 4.455, 'utilization': 0.50129711281603, 'throughput': 0.1019451413739339}"
182,"{'reward': 0.2054050781660877, 'makespan': 2001.2485821480284, 'energy': 3.7077219774098467, 'cost': 52.49765608677838, 'latency': 4.56, 'utilization': 0.49953121735567807, 'throughput': 0.09944588744588742}"
183,"{'reward': 0.21521539860740257, 'makespan': 4001.427623401587, 'energy': 3.791675782063789, 'cost': 52.55822594042975, 'latency': 4.45, 'utilization': 0.5116451880859514, 'throughput': 0.1016717685479295}"
184,"{'reward': 0.21143160968449984, 'makespan': 2000.6948377358253, 'energy': 3.7589326132721226, 'cost': 52.533664878174115, 'latency': 4.455, 'utilization': 0.5067329756348267, 'throughput': 0.10179334700387327}"
185,"{'reward': 0.20478086032942275, 'makespan': 0.7646943216654118, 'energy': 3.6753116960712555, 'cost': 52.48506154095529, 'latency': 4.43, 'utilization': 0.4970123081910611, 'throughput': 0.10224667729930884}"
186,"{'reward': 0.21137230669288204, 'makespan': 0.970194516991937, 'energy': 3.7700854405903037, 'cost': 52.53616120838718, 'latency': 4.485, 'utilization': 0.5072322416774312, 'throughput': 0.10091558441558439}"
187,"{'reward': 0.21947362959224875, 'makespan': 4000.743249168027, 'energy': 3.830631951354613, 'cost': 52.5810713172299, 'latency': 4.275, 'utilization': 0.516214263445978, 'throughput': 0.10583508235830212}"
188,"{'reward': 0.21002591916877963, 'makespan': 0.8233513490622255, 'energy': 3.7475525289203238, 'cost': 52.52857027323892, 'latency': 4.585, 'utilization': 0.5057140546477812, 'throughput': 0.09871052631578943}"
189,"{'reward': 0.21047988144468163, 'makespan': 0.8432390982674156, 'energy': 3.7533527889632188, 'cost': 52.52561651598945, 'latency': 4.38, 'utilization': 0.5051233031978913, 'throughput': 0.1036757580225072}"
190,"{'reward': 0.2127429191764839, 'makespan': 0.7130023482377967, 'energy': 3.797724593410851, 'cost': 52.54975618165681, 'latency': 4.55, 'utilization': 0.5099512363313629, 'throughput': 0.09972503227766381}"
191,"{'reward': 0.20702331517267114, 'makespan': 2.0547981280502294, 'energy': 3.7248926665051743, 'cost': 52.50556692805194, 'latency': 4.455, 'utilization': 0.5011133856103881, 'throughput': 0.10200935493814747}"
192,"{'reward': 0.21631652869289733, 'makespan': 4000.942426039482, 'energy': 3.8048514994571327, 'cost': 52.56755475456283, 'latency': 4.5, 'utilization': 0.5135109509125657, 'throughput': 0.10063628768891922}"
193,"{'reward': 0.21527224431676284, 'makespan': 4000.6599387796823, 'energy': 3.7995521254169313, 'cost': 52.559997044107064, 'latency': 4.455, 'utilization': 0.511999408821412, 'throughput': 0.10174665272807688}"
194,"{'reward': 0.21011840898131895, 'makespan': 2000.6937874228956, 'energy': 3.7407235453679157, 'cost': 52.52271470993895, 'latency': 4.415, 'utilization': 0.5045429419877907, 'throughput': 0.10322431077694234}"
195,"{'reward': 0.211700479004067, 'makespan': 2000.5348136468342, 'energy': 3.734565078944464, 'cost': 52.53258321970422, 'latency': 4.51, 'utilization': 0.5065166439408472, 'throughput': 0.10066810966810964}"
196,"{'reward': 0.21477348169942964, 'makespan': 6000.711423419683, 'energy': 3.7808178321099506, 'cost': 52.55308661611159, 'latency': 4.415, 'utilization': 0.5106173232223131, 'throughput': 0.10362322472848788}"
197,"{'reward': 0.20539306816730407, 'makespan': 0.8517049244888169, 'energy': 3.6951367737448693, 'cost': 52.49212305265604, 'latency': 4.45, 'utilization': 0.4984246105312094, 'throughput': 0.10203865724918355}"
198,"{'reward': 0.21261335058773617, 'makespan': 8000.716910303168, 'energy': 3.795780399582168, 'cost': 52.54390451094323, 'latency': 4.39, 'utilization': 0.5087809021886439, 'throughput': 0.10296441862231331}"
199,"{'reward': 0.21622988733355591, 'makespan': 2000.6678058543996, 'energy': 3.811472401791322, 'cost': 52.56945088770189, 'latency': 4.54, 'utilization': 0.5138901775403744, 'throughput': 0.09982099187362342}"
